PROGRAM_TITLE,Top 5 Most Similar Programs (cosine)
Accounting & Data Analysis Major (B.S.),Accounting Major (A.A.) (0.93); Business Administration & Data Analysis Major (B.S.) (0.79); Accounting Certificate - Online (0.77); Business Major (A.A.) (0.77); Christian Leadership & Management Major (B.S.) (0.76)
Music & Worship (M.A.) - Conducting,Music & Worship (M.A.) - Commercial Music Performance (0.92); Music Education (M.A.) - Conducting (0.90); Master of Arts in Music Education (M.A.)  (0.74); Master of Arts in Music & Worship (M.A.)  (0.68); Music Education (M.A.) - Music Studies (0.67)
Music & Worship (M.A.) - Worship Music Studies,Master of Arts in Music & Worship (M.A.)  (0.92); Master of Arts in Worship Studies (M.A.) (0.84); Music Education (M.A.) - Music Studies (0.75); Worship Music Studies Major (B.S.) (0.75); Doctor of Worship Studies (D.W.S.) (0.74)
Music & Worship Major (B.S.),Worship Leadership Major (B.M.) (0.96); Music in World Cultures Major (B.M.) (0.95); Music in World Cultures Major (B.S.) (0.94); Commercial Music (B.M.) - Performance - Resident (0.93); Commercial Music (B.M.) - Songwriting - Resident (0.92)
Music Education (M.A.) - Conducting,Music & Worship (M.A.) - Conducting (0.90); Music & Worship (M.A.) - Commercial Music Performance (0.73); Master of Arts in Music Education (M.A.)  (0.69); Music Education (M.A.) - Performance (0.62); Music Education (M.A.) - Music Studies (0.59)
Music Education (M.A.) - Music Studies,Master of Arts in Music Education (M.A.)  (0.86); Music & Worship (M.A.) - Worship Music Studies (0.75); Master of Arts in Music & Worship (M.A.)  (0.75); Master of Music in Performance (M.M.) (0.73); Master of Arts in Ethnomusicology (M.A.) (0.69)
Music Education (M.A.) - Performance,"Master of Music in Performance (M.M.) (0.68); Master of Arts in Music Education (M.A.)  (0.67); Woodwind, Brass, or Percussion Performance Major (B.M.) (0.62); Music Education (M.A.) - Conducting (0.62); Guitar Performance Major (B.M.) (0.60)"
Music Education Major (B.M.),"Music in World Cultures Major (B.M.) (0.95); Music in World Cultures Major (B.S.) (0.95); Commercial Music (B.M.) - Publishing & Producing - Resident (0.94); Commercial Music (B.M.) - Recording, Engineering, & Producing - Resident (0.94); Music Major (B.A./B.S.) Instrumental (0.94)"
Music Major (B.A./B.S.) Instrumental,Piano Performance Major (B.M.) (0.96); Music in World Cultures Major (B.M.) (0.96); Music in World Cultures Major (B.S.) (0.95); Music Education Major (B.M.) (0.94); Commercial Music (B.M.) - Publishing & Producing - Resident (0.94)
Music Major (B.A./B.S.) Vocal,Vocal Performance Major (B.M.) (0.98); Music Education Major (B.M.) (0.91); Music in World Cultures Major (B.M.) (0.91); Music in World Cultures Major (B.S.) (0.90); Worship Leadership Major (B.M.) (0.89)
Music in World Cultures - Ethnomusicology - Graduate Certificate,Master of Arts in Ethnomusicology (M.A.) (0.95); Master of Arts in Music Education (M.A.)  (0.65); Music Education (M.A.) - Music Studies (0.64); Master of Music in Performance (M.M.) (0.62); Music & Worship (M.A.) - Worship Music Studies (0.57)
Music in World Cultures Major (B.M.),Music in World Cultures Major (B.S.) (0.99); Worship Leadership Major (B.M.) (0.98); Commercial Music (B.M.) - Publishing & Producing - Resident (0.96); Music Major (B.A./B.S.) Instrumental (0.96); Commercial Music (B.M.) - Performance - Resident (0.96)
Music in World Cultures Major (B.S.),"Music in World Cultures Major (B.M.) (0.99); Worship Leadership Major (B.M.) (0.96); Commercial Music (B.M.) - Publishing & Producing - Resident (0.96); Commercial Music (B.M.) - Recording, Engineering, & Producing - Resident (0.96); Commercial Music (B.M.) - Performance - Resident (0.95)"
Musical Theatre Major (B.F.A.),"Acting Major (B.F.A.) (0.95); Vocal Performance Major (B.M.) (0.81); Music Major (B.A./B.S.) Vocal (0.81); Music Education Major (B.M.) (0.74); Commercial Music (B.M.) - Recording, Engineering, & Producing - Resident (0.73)"
Nursing (M.S.N.) - Community Health,Nursing for RNs: Post Licensure & Master of Science in Nursing: Community Health  (B.S.N. to M.S.N.) - Online (0.97); Master of Science in Nursing (M.S.N.) (0.85); Nursing for RNs: Post Licensure & Master of Science in Nursing: Nursing Informatics (B.S.N. to M.S.N.) - Online (0.66); Master of Science in Nursing (M.S.N.) & Master of Science in Healthcare Administration (M.S.) (0.65); Master of Science in Nursing (M.S.N.) & Master of Business Administration (M.B.A.) (0.63)
Nursing (M.S.N.) - Health Policy,Nursing for RNs: Post Licensure & Master of Science in Nursing: Health Policy (B.S.N. to M.S.N.) - Online (0.93); Master of Science in Nursing (M.S.N.) (0.65); Nursing for RNs: Post Licensure & Master of Science in Nursing: Nursing Informatics (B.S.N. to M.S.N.) - Online (0.55); Master of Science in Nursing (M.S.N.) & Master of Science in Healthcare Administration (M.S.) (0.53); Master of Public Health (M.P.H.) (0.53)
Nursing (M.S.N.) - Nurse Educator (36 hour),Nursing for RNs: Post Licensure & Master of Science in Nursing: Nurse Educator (B.S.N. to M.S.N.) - Online (0.93); Master of Science in Nursing (M.S.N.) (0.64); Doctor of Philosophy in Nursing (Ph.D.) (0.50); Nursing Educational Leadership - Executive Certificate (0.48); Bachelor of Science in Nursing (B.S.N.) for RNs: Post-Licensure - Master of Science in Nursing (M.S.N.) (0.46)
Nursing (M.S.N.) - Nursing Administration (36 hour),Nursing for RNs: Post Licensure & Master of Science in Nursing: Nursing Administration (B.S.N. to M.S.N) - Online (0.91); Master of Science in Nursing (M.S.N.) & Master of Business Administration (M.B.A.) (0.88); Master of Science in Nursing (M.S.N.) & Master of Science in Healthcare Administration (M.S.) (0.81); Master of Science in Nursing (M.S.N.) (0.75); Nursing for RNs: Post Licensure & Master of Science in Nursing: Nursing Informatics (B.S.N. to M.S.N.) - Online (0.62)
Nursing (M.S.N.) - Nursing Informatics (36 hour),Nursing for RNs: Post Licensure & Master of Science in Nursing: Nursing Informatics (B.S.N. to M.S.N.) - Online (0.89); Master of Science in Nursing (M.S.N.) (0.73); Master of Science in Nursing (M.S.N.) & Master of Science in Healthcare Administration (M.S.) (0.71); Bachelor of Science in Public Health (B.S.) - Community Health Promotion & Master of Public Health (M.P.H.) - Community Health Promotion (0.68); Master of Public Health (M.P.H.) (0.68)
Nursing Educational Leadership - Executive Certificate,Doctor of Philosophy in Nursing (Ph.D.) (0.86); Nursing (M.S.N.) - Nurse Educator (36 hour) (0.48); Nursing for RNs: Post Licensure & Master of Science in Nursing: Nurse Educator (B.S.N. to M.S.N.) - Online (0.48); Master of Science in Nursing (M.S.N.) (0.46); Master of Science in Nursing (M.S.N.) & Master of Business Administration (M.B.A.) (0.39)
Nursing Major (B.S.N.),Nursing Major (R.N. to B.S.N.) (0.94); Bachelor of Science in Nursing (B.S.N.) for RNs: Post-Licensure - Master of Science in Nursing (M.S.N.) (0.92); Psychology (B.S.) - Child Life Specialist - Resident (0.82); Psychology Major (B.S.) (0.55); Master of Science in Nursing (M.S.N.) (0.53)
Nursing Major (R.N. to B.S.N.),Bachelor of Science in Nursing (B.S.N.) for RNs: Post-Licensure - Master of Science in Nursing (M.S.N.) (0.95); Nursing Major (B.S.N.) (0.94); Psychology (B.S.) - Child Life Specialist - Resident (0.71); Master of Science in Nursing (M.S.N.) (0.52); Medical Office Assistant Certificate - Online (0.51)
Nursing Practice (D.N.P.) - Family Nurse Practitioner,Doctor of Nursing Practice (D.N.P.) (0.93); Nursing Practice (D.N.P.) - Psychiatric Mental Health Nurse Practitioner (Post B.S.N.) (0.85); Psychiatric Mental Health Nurse Practitioner - Post Graduate Certificate (0.82); Master of Science in Nursing (M.S.N.) (0.46); Bachelor of Science in Nursing (B.S.N.) for RNs: Post-Licensure - Master of Science in Nursing (M.S.N.) (0.44)
Nursing Practice (D.N.P.) - Psychiatric Mental Health Nurse Practitioner (Post B.S.N.),Psychiatric Mental Health Nurse Practitioner - Post Graduate Certificate (0.99); Doctor of Nursing Practice (D.N.P.) (0.92); Nursing Practice (D.N.P.) - Family Nurse Practitioner (0.85); Master of Science in Nursing (M.S.N.) (0.46); Bachelor of Science in Nursing (B.S.N.) for RNs: Post-Licensure - Master of Science in Nursing (M.S.N.) (0.43)
Nursing for RNs: Post Licensure & Master of Science in Nursing: Community Health  (B.S.N. to M.S.N.) - Online,Nursing (M.S.N.) - Community Health (0.97); Master of Science in Nursing (M.S.N.) (0.90); Nursing for RNs: Post Licensure & Master of Science in Nursing: Nursing Informatics (B.S.N. to M.S.N.) - Online (0.77); Master of Science in Nursing (M.S.N.) & Master of Science in Healthcare Administration (M.S.) (0.74); Master of Science in Nursing (M.S.N.) & Master of Business Administration (M.B.A.) (0.73)
Nursing for RNs: Post Licensure & Master of Science in Nursing: Health Policy (B.S.N. to M.S.N.) - Online,Nursing (M.S.N.) - Health Policy (0.93); Master of Science in Nursing (M.S.N.) (0.76); Nursing for RNs: Post Licensure & Master of Science in Nursing: Nursing Informatics (B.S.N. to M.S.N.) - Online (0.75); Master of Science in Nursing (M.S.N.) & Master of Science in Healthcare Administration (M.S.) (0.69); Nursing for RNs: Post Licensure & Master of Science in Nursing: Nursing Administration (B.S.N. to M.S.N) - Online (0.69)
Nursing for RNs: Post Licensure & Master of Science in Nursing: Nurse Educator (B.S.N. to M.S.N.) - Online,Nursing (M.S.N.) - Nurse Educator (36 hour) (0.93); Master of Science in Nursing (M.S.N.) (0.78); Master of Science in Nursing (M.S.N.) & Master of Business Administration (M.B.A.) (0.66); Nursing for RNs: Post Licensure & Master of Science in Nursing: Nursing Administration (B.S.N. to M.S.N) - Online (0.65); Nursing for RNs: Post Licensure & Master of Science in Nursing: Nursing Informatics (B.S.N. to M.S.N.) - Online (0.63)
Nursing for RNs: Post Licensure & Master of Science in Nursing: Nursing Administration (B.S.N. to M.S.N) - Online,Master of Science in Nursing (M.S.N.) & Master of Business Administration (M.B.A.) (0.97); Nursing (M.S.N.) - Nursing Administration (36 hour) (0.91); Master of Science in Nursing (M.S.N.) & Master of Science in Healthcare Administration (M.S.) (0.90); Master of Science in Nursing (M.S.N.) (0.84); Nursing for RNs: Post Licensure & Master of Science in Nursing: Nursing Informatics (B.S.N. to M.S.N.) - Online (0.81)
Nursing for RNs: Post Licensure & Master of Science in Nursing: Nursing Informatics (B.S.N. to M.S.N.) - Online,Nursing (M.S.N.) - Nursing Informatics (36 hour) (0.89); Master of Science in Nursing (M.S.N.) & Master of Science in Healthcare Administration (M.S.) (0.84); Master of Science in Nursing (M.S.N.) (0.84); Master of Science in Nursing (M.S.N.) & Master of Business Administration (M.B.A.) (0.82); Nursing for RNs: Post Licensure & Master of Science in Nursing: Nursing Administration (B.S.N. to M.S.N) - Online (0.81)
Nutrition - Graduate Certificate,Public Health (M.P.H.) - Nutrition (0.97); Master of Science in Nutrition (M.S.) (0.92); Master of Science in Human Performance (M.S.) (0.81); Exercise Science & Wellness (M.S.) - Nutrition & Wellness (0.81); Master of Public Health (M.P.H.) (0.78)
Organizational Communication - Graduate Certificate,Fundamentals of Communication - Graduate Certificate (0.79); Master of Arts in Communication (M.A.) (0.65); Applied Communication Studies - Graduate Certificate (0.58); Master of Arts in Professional Communication (M.A.) (0.58); Doctor of Philosophy in Communication (Ph.D.) (0.54)
Outdoor Adventure Sport - Graduate Certificate,Master of Science in Sport Management (M.S.) (0.58); Camp & Outdoor Adventure Leadership Major (B.S.) (0.47); Master of Arts in Applied Ministry (M.A.) (0.41); Master of Arts in Interdisciplinary Studies (M.A.) (0.41); Interdisciplinary Studies Major (B.A. or B.S.) (0.39)
Paralegal Studies Certificate - Online,Paralegal Studies Major (A.A.) (0.90); Paralegal Studies Major (B.S.) (0.87); Applied Ministry Major (B.S.) (0.77); Juris Master in American Legal Studies (J.M.) (0.75); Juris Doctor (J.D.) (0.75)
Paralegal Studies Major (A.A.),Paralegal Studies Major (B.S.) (0.94); Paralegal Studies Certificate - Online (0.90); Applied Ministry Major (B.S.) (0.85); Juris Doctor (J.D.) (0.79); Master of Arts in Interdisciplinary Research (M.A.) (0.77)
Paralegal Studies Major (B.S.),Paralegal Studies Major (A.A.) (0.94); Paralegal Studies Certificate - Online (0.87); Applied Ministry Major (B.S.) (0.86); Law and Policy Major (B.A./B.S.) (0.81); Master of Arts in Interdisciplinary Research (M.A.) (0.79)
Pastoral Counseling - Graduate Certificate,Master of Arts in Clinical Mental Health Counseling (M.A.) (0.71); Master of Arts in Marriage & Family Counseling (M.A.) (0.71); Master of Arts in Marriage & Family Therapy (M.A.) (0.71); Mental Health Studies - Graduate Certificate (0.71); Master of Education in School Counseling (M.Ed.) (0.69)
Pastoral Leadership Major (B.S.),Master of Arts in Religion (M.A.R.) (0.78); Religion Major (B.S.) (0.78); Religious Studies Major (B.S.) (0.78); Christian Studies Major (B.S.) (0.78); Master of Divinity (M.Div.) (0.77)
"Philosophy, Politics, and Economics Major (A.A.) ","Philosophy, Politics, and Economics Major (B.S.) (0.99); Political Science Major (B.S.) (0.79); Government Major (A.A.) (0.78); Government Major (B.A./B.S.) (0.77); Early Childhood Education Interdisciplinary Studies Major (B.S.) (Non-Licensure Program) (0.77)"
"Philosophy, Politics, and Economics Major (B.S.)","Philosophy, Politics, and Economics Major (A.A.)  (0.99); Political Science Major (B.S.) (0.79); Government Major (B.A./B.S.) (0.78); Government Major (A.A.) (0.77); Early Childhood Education Interdisciplinary Studies Major (B.S.) (Non-Licensure Program) (0.77)"
Physical Education & Health (B.S.) Non-Licensure Concentration,Physical Education & Health Major (B.S.) (0.93); Health & Physical Education P-12 Major (B.Ed.) (0.92); Strength and Conditioning Major (B.S.) (0.84); Interdisciplinary Studies Major (B.A. or B.S.) (0.75); Exercise Science Major (B.S.) (0.71)
Physical Education & Health Major (B.S.),Health & Physical Education P-12 Major (B.Ed.) (0.96); Strength and Conditioning Major (B.S.) (0.96); Physical Education & Health (B.S.) Non-Licensure Concentration (0.93); Exercise Science Major (B.S.) (0.86); Interdisciplinary Studies Major (B.A. or B.S.) (0.84)
Physics Education 6-12 Major (B.Ed.),Elementary Education Major (B.Ed.) (0.89); Middle Education Major (B.Ed.) (0.89); Bachelor of Education in Special Education - General Curriculum K-12 (0.87); Mathematics Education 6-12 Major (B.Ed.) (0.87); Business Education 6-12 Major (B.Ed.) (0.87)
Physics Education Certificate - Online,Physics Major (B.S.) (0.75); Physics Major (A.S.) (0.74); Physics Education 6-12 Major (B.Ed.) (0.68); Forensic Science Major (B.S.) (0.61); Chemistry Major (B.S.) (0.59)
Physics Major (A.S.),Physics Major (B.S.) (0.93); Mathematics Major (B.S.) (0.77); Computational Mathematics Major (B.S.) (0.77); Applied Mathematics & Statistics Major (B.S.) (0.76); Physics Education Certificate - Online (0.74)
Physics Major (B.S.),Physics Major (A.S.) (0.93); Computational Mathematics Major (B.S.) (0.79); Physics Education 6-12 Major (B.Ed.) (0.78); Mathematics Major (B.S.) (0.78); Applied Mathematics & Statistics Major (B.S.) (0.78)
Piano Performance Major (B.M.),Music Major (B.A./B.S.) Instrumental (0.96); Music in World Cultures Major (B.M.) (0.95); Commercial Music (B.M.) - Publishing & Producing - Resident (0.94); Music Education Major (B.M.) (0.94); Worship Leadership Major (B.M.) (0.93)
Political Science Major (B.S.),Government Major (B.A./B.S.) (0.90); International Relations Major (B.A.) (0.89); Government Major (A.A.) (0.86); Government (B.S.) - Politics & Policy - Resident (0.86); International Relations (B.A.) - International Politics & Policy - Resident (0.83)
Preschool - Graduate Certificate,Master of Arts in Educational Studies (M.A.) (0.63); Master of Arts in Applied Ministry (M.A.) (0.62); Teaching in Special Education (M.A.T.) - Early Childhood Special Education & General Curriculum (0.62); Master of Arts in Teaching in Special Education (M.A.T.) - 45 hours (0.61); Master of Arts in Teaching in Special Education (M.A.T.) (0.61)
Preschool Certificate - Online,Early Childhood Education Major (A.A.) (Non-Licensure Program) (0.82); Early Childhood Education Interdisciplinary Studies Major (B.S.) (Non-Licensure Program) (0.77); Biblical & Educational Studies Major (B.S.) (0.72); Special Education Interdisciplinary Studies Major (B.S.) (0.70); Elementary Education Interdisciplinary Studies Major (B.S.) (0.68)
Professional Chaplaincy (M.Div.) - Community,Master of Divinity in Professional Chaplaincy (M.Div.) (0.87); Professional Chaplaincy (M.Div.) - Military (0.83); Master of Arts in Chaplaincy (M.A.) (0.79); Master of Arts in Pastoral Counseling (M.A.) (0.78); Professional Chaplaincy (M.Div.) - Healthcare (0.76)
Professional Chaplaincy (M.Div.) - Healthcare,Professional Chaplaincy (M.Div.) - Military (0.79); Professional Chaplaincy (M.Div.) - Community (0.76); Master of Divinity in Professional Chaplaincy (M.Div.) (0.75); Master of Arts in Chaplaincy (M.A.) (0.70); Master of Arts in Applied Ministry (M.A.) (0.67)
Professional Chaplaincy (M.Div.) - Military,Master of Divinity in Professional Chaplaincy (M.Div.) (0.88); Professional Chaplaincy (M.Div.) - Community (0.83); Master of Arts in Chaplaincy (M.A.) (0.80); Professional Chaplaincy (M.Div.) - Healthcare (0.79); Master of Arts in Sports Chaplaincy (M.A.) (0.74)
Project Management Certificate - Online,Master of Science in Project Management (M.S.) (0.75); Business Administration & Data Analysis Major (B.S.) (0.67); Master of Business Administration (M.B.A.) (0.63); Doctor of Business Administration (D.B.A.) (0.62); Management & Leadership - Graduate Certificate (0.61)
Psychiatric Mental Health Nurse Practitioner - Post Graduate Certificate,Nursing Practice (D.N.P.) - Psychiatric Mental Health Nurse Practitioner (Post B.S.N.) (0.99); Doctor of Nursing Practice (D.N.P.) (0.90); Nursing Practice (D.N.P.) - Family Nurse Practitioner (0.82); Master of Science in Nursing (M.S.N.) (0.44); Bachelor of Science in Nursing (B.S.N.) for RNs: Post-Licensure - Master of Science in Nursing (M.S.N.) (0.41)
Psychology (B.S.) - Child Life Specialist - Resident,Nursing Major (B.S.N.) (0.82); Nursing Major (R.N. to B.S.N.) (0.71); Bachelor of Science in Nursing (B.S.N.) for RNs: Post-Licensure - Master of Science in Nursing (M.S.N.) (0.70); Psychology Major (B.S.) (0.64); Master of Science in Nursing (M.S.N.) (0.44)
Psychology (M.S.) - General Psychology,Master of Science in Psychology (M.S.) (0.96); Master of Arts in Applied Psychology (M.A.) (0.82); Doctor of Philosophy in Psychology (Ph.D.) (0.79); Psychology (Ph.D.) - Developmental Psychology (0.76); Psychology (Ph.D.) - General Psychology (0.75)
Psychology (M.S.) - Industrial/Organizational Psychology,Psychology (M.S.) - General Psychology (0.70); Master of Science in Psychology (M.S.) (0.64); Interdisciplinary Studies Major (B.A. or B.S.) (0.56); Master of Arts in Interdisciplinary Studies (M.A.) (0.54); Master of Arts in Applied Ministry (M.A.) (0.53)
Psychology (Ph.D.) - Behavioral Health Leadership,Doctor of Philosophy in Psychology (Ph.D.) (0.69); Psychology (Ph.D.) - General Psychology (0.69); Master of Science in Healthcare Administration (M.S.) (0.67); Healthcare Administration Major (B.S.) (0.64); Master of Business Administration (M.B.A.) (0.63)
Psychology (Ph.D.) - Developmental Psychology,Psychology (Ph.D.) - General Psychology (0.82); Doctor of Philosophy in Psychology (Ph.D.) (0.81); Master of Arts in Applied Psychology (M.A.) (0.77); Master of Science in Psychology (M.S.) (0.76); Psychology (M.S.) - General Psychology (0.76)
Psychology (Ph.D.) - General Psychology,Doctor of Philosophy in Psychology (Ph.D.) (0.96); Psychology (Ph.D.) - Social Psychology (0.85); Psychology (Ph.D.) - Developmental Psychology (0.82); Master of Arts in Applied Psychology (M.A.) (0.81); Psychology (Ph.D.) - Theology (0.81)
Psychology (Ph.D.) - Industrial/Organizational Psychology,Doctor of Philosophy in Psychology (Ph.D.) (0.84); Psychology (Ph.D.) - General Psychology (0.80); Master of Arts in Applied Psychology (M.A.) (0.78); Master of Arts in Applied Ministry (M.A.) (0.70); Master of Arts in Interdisciplinary Studies (M.A.) (0.70)
Psychology (Ph.D.) - Social Psychology,Psychology (Ph.D.) - General Psychology (0.85); Doctor of Philosophy in Psychology (Ph.D.) (0.81); Psychology (Ph.D.) - Theology (0.71); Master of Science in Psychology (M.S.) (0.71); Psychology (Ph.D.) - Developmental Psychology (0.70)
Psychology (Ph.D.) - Theology,Doctor of Philosophy in Psychology (Ph.D.) (0.84); Psychology (Ph.D.) - General Psychology (0.81); Master of Arts in Applied Psychology (M.A.) (0.75); Psychology - Executive Certificate (0.74); Master of Science in Psychology (M.S.) (0.72)
Psychology - Executive Certificate,Doctor of Philosophy in Psychology (Ph.D.) (0.80); Psychology (Ph.D.) - General Psychology (0.78); Master of Arts in Applied Psychology (M.A.) (0.74); Psychology (Ph.D.) - Theology (0.74); Master of Science in Psychology (M.S.) (0.68)
Psychology Major (A.A.),Psychology Major (B.S.) (0.78); Master of Arts in Pastoral Counseling (M.A.) (0.74); Master of Arts in Human Services Counseling (M.A.) (0.72); Human Services Major (B.S.) (0.71); Master of Education in Curriculum & Instruction (M.Ed.) (0.71)
Psychology Major (B.S.),Master of Arts in Human Services Counseling (M.A.) (0.85); Master of Arts in Interdisciplinary Studies (M.A.) (0.84); Master of Arts in Pastoral Counseling (M.A.) (0.84); Human Services Major (B.S.) (0.84); Interdisciplinary Studies Major (B.A. or B.S.) (0.82)
Public Administration - Executive Certificate,Doctor of Public Administration (D.P.A.) (0.87); Doctor of Philosophy in Public Administration (Ph.D.) (0.85); Government (B.S.) - Public Administration - Online (0.70); Public Administration Major (B.S.) (0.69); Master of Public Administration (M.P.A.) (0.67)
Public Administration - Graduate Certificate,Master of Arts in Public Policy (M.A.P.P.) (0.68); Master of Public Administration (M.P.A.) (0.65); Public Policy - Graduate Certificate (0.65); Public Policy - Advanced Graduate Certificate (0.62); Government Major (B.A./B.S.) (0.59)
Public Administration Certificate - Online,Government (B.S.) - Public Administration - Online (0.88); Public Administration Major (B.S.) (0.86); Fire Administration Major (B.S.) (0.72); Government Major (B.A./B.S.) (0.70); Business Administration & Data Analysis Major (B.S.) (0.69)
Public Administration Major (B.S.),Government (B.S.) - Public Administration - Online (0.87); Public Administration Certificate - Online (0.86); Government Major (B.A./B.S.) (0.85); Government Major (A.A.) (0.83); Fire Administration Major (B.S.) (0.81)
Public Health (B.S.) - Community Health Promotion - Resident,Public Health Major (B.S.) (0.97); Public Health (B.S.) - Pre-Clinical - Resident (0.96); Public Health (B.S.) - Nutrition - Resident (0.92); Bachelor of Science in Public Health (B.S.) - Community Health Promotion & Master of Public Health (M.P.H.) - Community Health Promotion (0.91); Master of Public Health (M.P.H.) (0.89)
Public Health (B.S.) - Nutrition - Resident,Public Health (B.S.) - Community Health Promotion - Resident (0.92); Public Health (B.S.) - Pre-Clinical - Resident (0.92); Public Health Major (B.S.) (0.90); Bachelor of Science in Public Health (B.S.) - Community Health Promotion & Master of Public Health (M.P.H.) - Community Health Promotion (0.88); Master of Public Health (M.P.H.) (0.85)
Public Health (B.S.) - Pre-Clinical - Resident,Public Health Major (B.S.) (0.97); Public Health (B.S.) - Community Health Promotion - Resident (0.96); Public Health (B.S.) - Nutrition - Resident (0.92); Bachelor of Science in Public Health (B.S.) - Community Health Promotion & Master of Public Health (M.P.H.) - Community Health Promotion (0.90); Master of Public Health (M.P.H.) (0.88)
Public Health (M.P.H.) - Environmental Health,Master of Public Health (M.P.H.) (0.92); Public Health (M.P.H.) - Global Health (0.91); Bachelor of Science in Public Health (B.S.) - Community Health Promotion & Master of Public Health (M.P.H.) - Community Health Promotion (0.88); Global Health - Graduate Certificate (0.87); Public Health (M.P.H.) - Health Promotion (0.84)
Public Health (M.P.H.) - Epidemiology ,Epidemiology - Graduate Certificate (0.98); Master of Public Health (M.P.H.) (0.87); Public Health (M.P.H.) - Nutrition (0.79); Public Health (M.P.H.) - Global Health (0.79); Bachelor of Science in Public Health (B.S.) - Community Health Promotion & Master of Public Health (M.P.H.) - Community Health Promotion (0.79)
Public Health (M.P.H.) - Global Health,Global Health - Graduate Certificate (0.98); Master of Public Health (M.P.H.) (0.93); Public Health (M.P.H.) - Environmental Health (0.91); Bachelor of Science in Public Health (B.S.) - Community Health Promotion & Master of Public Health (M.P.H.) - Community Health Promotion (0.89); Public Health (M.P.H.) - Health Promotion (0.88)
Public Health (M.P.H.) - Health Promotion,Bachelor of Science in Public Health (B.S.) - Community Health Promotion & Master of Public Health (M.P.H.) - Community Health Promotion (0.91); Master of Public Health (M.P.H.) (0.91); Public Health (M.P.H.) - Global Health (0.88); Public Health (M.P.H.) - Environmental Health (0.84); Global Health - Graduate Certificate (0.81)
Public Health (M.P.H.) - Nutrition,Nutrition - Graduate Certificate (0.97); Master of Science in Nutrition (M.S.) (0.91); Master of Public Health (M.P.H.) (0.88); Bachelor of Science in Public Health (B.S.) - Community Health Promotion & Master of Public Health (M.P.H.) - Community Health Promotion (0.83); Public Health (M.P.H.) - Global Health (0.82)
Public Health Major (B.S.),Public Health (B.S.) - Community Health Promotion - Resident (0.97); Public Health (B.S.) - Pre-Clinical - Resident (0.97); Bachelor of Science in Public Health (B.S.) - Community Health Promotion & Master of Public Health (M.P.H.) - Community Health Promotion (0.94); Public Health (B.S.) - Nutrition - Resident (0.90); Master of Public Health (M.P.H.) (0.89)
Public Policy - Advanced Graduate Certificate,Public Policy - Graduate Certificate (0.85); Master of Arts in Public Policy (M.A.P.P.) (0.82); Master of Science in Political Science (M.S.) (0.76); Government Major (B.A./B.S.) (0.69); Political Science Major (B.S.) (0.69)
Public Policy - Executive Certificate,Doctor of Law & Policy (D.L.P.) (0.76); Doctor of Philosophy in Public Policy (Ph.D.) (0.76); Government Major (B.A./B.S.) (0.63); Government (B.S.) - Politics & Policy - Resident (0.62); Political Science Major (B.S.) (0.61)
Public Policy - Graduate Certificate,Public Policy - Advanced Graduate Certificate (0.85); Master of Arts in Public Policy (M.A.P.P.) (0.70); Master of Science in Political Science (M.S.) (0.67); Public Administration - Graduate Certificate (0.65); Political Science Major (B.S.) (0.61)
Religion Major (A.A.),Apologetics and Cultural Engagement Major (B.S.) (0.81); Christian Studies Major (B.S.) (0.77); Christian Leadership & Management Major (B.S.) (0.76); Religion Major (B.S.) (0.75); Theology & Apologetics Major (B.A.) (0.75)
Religion Major (B.S.),Bible Major (B.S.) (0.93); Religious Studies: Bible & Theology Major (B.A.) (0.92); Master of Arts in Religion (M.A.R.) (0.91); Biblical Studies Major (B.A.) (0.91); Religious Studies Major (B.S.) (0.91)
Religious Studies (B.S.) - Biblical Languages - Resident,Master of Arts in Biblical Languages (M.A.)  (0.70); Divinity (M.Div.) - Biblical Languages (90 hour) (0.70); Master of Arts in Biblical Studies (M.A.) (0.54); Religious Studies: Bible & Theology Major (B.S.) (0.53); Doctor of Philosophy in Bible Exposition (Ph.D.) (0.52)
Religious Studies Major (B.S.),Religious Studies: Bible & Theology Major (B.S.) (0.94); Religious Studies: Bible & Theology Major (B.A.) (0.93); Biblical Studies Major (B.A.) (0.92); Theology & Apologetics Major (B.A.) (0.91); Religion Major (B.S.) (0.91)
Religious Studies: Bible & Theology Major (B.A.),Religious Studies: Bible & Theology Major (B.S.) (0.99); Biblical Studies Major (B.A.) (0.95); Religious Studies Major (B.S.) (0.93); Religion Major (B.S.) (0.92); Biblical Studies Major (A.A.) (0.91)
Religious Studies: Bible & Theology Major (B.S.),Religious Studies: Bible & Theology Major (B.A.) (0.99); Biblical Studies Major (B.A.) (0.94); Religious Studies Major (B.S.) (0.94); Religion Major (B.S.) (0.90); Biblical Studies Major (A.A.) (0.89)
Respiratory Therapy Major (B.S.),Respiratory Therapy Major (RRT to BSRT) (0.97); Doctor of Osteopathic Medicine (D.O.) (0.62); Interdisciplinary Studies Major (B.A. or B.S.) (0.62); Middle Education Major (B.Ed.) (0.62); Biomedical Sciences Major (B.S.) (0.61)
Respiratory Therapy Major (RRT to BSRT),Respiratory Therapy Major (B.S.) (0.97); Interdisciplinary Studies Major (B.A. or B.S.) (0.69); Doctor of Osteopathic Medicine (D.O.) (0.68); Master of Arts in Interdisciplinary Studies (M.A.) (0.68); Health Sciences Major (B.S.) (0.68)
